1.358367	2.755556	song
6.364921	7.529230	song
3.997481	5.317028	song
8.732362	10.090729	song
13.845644	14.806211	song
16.707918	17.649075	song
46.572595	47.630191	song
49.007953	50.036434	song
51.423907	52.365063	song
53.801050	55.013884	song
56.314029	57.167861	song
59.021061	59.971923	song
61.999767	62.766275	song
80.221294	81.502043	song
82.967137	83.976207	song
85.373388	86.333955	song
87.808746	88.701377	song
90.253808	91.088229	song
92.931732	93.785564	song
95.968653	96.870989	song
119.196735	120.564807	song
121.496257	122.447118	song
126.434892	126.910312	song
