4.311245	7.588329	song
13.470963	15.821330	song
20.622795	23.429805	song
31.300178	34.933174	song
41.990991	44.113037	song
49.626328	52.668375	song
66.146052	68.973209	song
75.614675	77.045042	song
81.080958	83.699939	song
89.878047	91.603889	song
94.558636	98.205063	song
103.194557	107.196897	song
114.456174	117.001287	song
123.004796	126.161004	song
132.124222	135.340867	song
139.309630	142.902335	song
147.294164	151.289788	song
157.649211	161.698558	song
167.030534	169.327179	song
174.088352	176.465580	song
182.119893	184.215077	song
