0.153861	0.268170	call
1.488058	1.694679	call
1.927661	1.993602	call
2.187027	2.358479	call
2.745324	3.231083	call
3.576174	3.683884	call
3.908075	4.409232	call
4.963123	5.095006	call
5.565380	5.668691	call
5.826944	6.051139	call
6.958923	7.156724	call
8.893179	9.095401	call
9.337178	9.596543	call
9.820742	10.198792	call
10.493336	10.647190	call
11.086800	11.267027	call
11.548384	11.838520	call
12.832026	13.113387	call
18.072100	19.245841	call
19.685445	20.384424	call
20.714117	21.149310	call
21.821918	22.199968	call
25.870666	26.072888	call
29.967770	30.183167	call
31.436046	31.778926	call
38.491682	39.120322	call
39.581899	39.775323	call
40.087443	40.228123	call
45.318725	46.030879	song
48.527830	49.424633	song
58.836532	59.012383	call
59.214591	59.522324	call
59.909165	60.085015	call
60.594946	60.819141	call
61.144451	61.351072	call
