0.717521	4.052667	song
4.570875	5.089084	call
7.029050	8.185071	song
8.743128	9.022170	call
10.656518	10.922268	call
20.781538	20.994142	call
21.472485	22.150151	call
24.714617	26.003492	call
29.591103	30.813541	call
32.315026	33.577339	call
39.902148	41.058148	call
42.333747	42.626060	call
48.339665	48.592123	call
49.469097	49.734847	call
50.651678	50.850969	call
51.595085	51.847543	call
56.803757	56.989778	call
60.989297	61.188610	call
116.783210	116.982522	call
117.407719	126.921511	song
127.346715	128.250278	call
128.688746	128.901350	call
129.193668	129.738460	call
130.349674	131.014049	call
157.349729	159.861062	song
162.093341	162.704570	call
166.066282	166.770511	call
167.129277	167.395027	call
167.700636	167.992948	call
172.869446	174.875862	song
175.022009	177.280884	call
177.918669	178.397023	call
